"","x"
"1","P2ry14"
"2","Ifi44"
"3","Iigp1"
"4","Tor1aip1"
"5","Oas1c"
"6","Trim25"
"7","Gbp8"
"8","Nmi"
"9","Parp10"
"10","Mov10"
"11","Sp100"
"12","Stat1"
"13","Trim30a"
"14","9230105E10Rik"
"15","Ifi203"
"16","Mitd1"
"17","Dtx3l"
"18","Tor1aip2"
"19","Ddx58"
"20","Pml"
"21","BC006779"
"22","Papd7"
"23","Pcgf5"
"24","Socs1"
"25","Ifi35"
"26","Trafd1"
"27","Samd9l"
"28","Gvin1"
"29","Rnf213"
"30","Ehd4"
"31","Rnf213"
"32","2010002M12Rik"
"33","Rnf213"
"34","Trim21"
"35","Rnf213"
"36","H2-T24"
"37","Casp4"
"38","Rnf213"
"39","Rnf213"
"40","Rnf213"
"41","Rnf213"
"42","Rnf213"
"43","Pnpt1"
"44","Oas1a"
"45","Gbp9"
"46","Oas1b"
"47","Tdrd7"
"48","Rnf213"
"49","Daxx"
"50","Parp9"
"51","Rnf213"
"52","Rnf213"
"53","Ppm1k"
"54","Ube2l6"
"55","Pyhin1"
"56","Mlkl"
"57","Xaf1"
"58","Irgm2"
"59","Mpa2l"
"60","Isg15"
"61","Zufsp"
"62","Rnf213"
"63","Slfn8"
"64","Stat2"
"65","Parp14"
"66","Oas1g"
"67","Tlr3"
"68","Phf11"
"69","Nampt"
"70","Rnf213"
"71","Ccrl2"
"72","D14Ertd668e"
"73","Gdap10"
"74","Zbp1"
"75","Gbp2"
"76","Cd69"
"77","Setdb2"
"78","Rnf213"
"79","Ifi47"
"80","Gbp4"
"81","Irgm1"
"82","Gbp3"
"83","Tor3a"
"84","Dhx58"
"85","Irf7"
"86","Gbp6"
"87","Rtp4"
"88","Ddx60"
"89","BC094916"
"90","Oasl1"
"91","AI607873"
"92","Slfn9"
"93","Oas2"
"94","Herc6"
"95","Oas3"
"96","Isg20"
"97","Eif2ak2"
"98","Ifih1"
"99","Parp12"
"100","Tnfsf10"
"101","E030037K03Rik"
"102","Ifi204"
"103","Gbp5"
"104","E430029J22Rik"
"105","Cmpk2"
"106","Slfn5"
"107","Usp18"
"108","Ifit2"
"109","Mx2"
"110","Mx1"
"111","Rsad2"
"112","Ifit3"
"113","Ifit1"
"114","Cxcl10"
"115","I830012O16Rik"
